forecast_horizon,chronos_raw__pf_full,ffnn_large_b50__pf_full__seed60,ffnn_large_b50__pf_full__seed61,ffnn_large_b50__pf_full__seed62,ffnn_large_b50__pf_full__seed63,ffnn_large_b50__pf_full__seed64,ffnn_linear_b50__pf_full__seed60,ffnn_linear_b50__pf_full__seed61,ffnn_linear_b50__pf_full__seed62,ffnn_linear_b50__pf_full__seed63,ffnn_linear_b50__pf_full__seed64,forma_fgrid__pf_full__seed60,forma_fgrid__pf_full__seed61,forma_fgrid__pf_full__seed62,forma_fgrid__pf_full__seed63,forma_fgrid__pf_full__seed64,forma_lap05_fgrid__pf_full__seed60,forma_lap05_fgrid__pf_full__seed61,forma_lap05_fgrid__pf_full__seed62,forma_lap05_fgrid__pf_full__seed63,forma_lap05_fgrid__pf_full__seed64
1,410906.6440677966,410906.6440677966,410906.6440677966,410906.6440677966,410906.6440677966,410906.6440677966,410906.6440677966,410906.6440677966,410906.6440677966,410906.6440677966,410906.6440677966,391443.5593220339,391443.5593220339,391443.5593220339,391443.5593220339,391443.5593220339,391443.5593220339,391443.5593220339,391443.5593220339,391443.5593220339,391443.5593220339
2,406821.6896551724,406821.6896551724,406821.6896551724,406821.6896551724,406821.6896551724,406821.6896551724,406821.6896551724,406821.6896551724,406821.6896551724,406821.6896551724,406821.6896551724,387120.7413793103,387120.7413793103,387120.7413793103,387120.7413793103,387120.7413793103,387120.7413793103,387120.7413793103,387120.7413793103,387120.7413793103,387120.7413793103
3,393250.1228070175,393250.1228070175,393250.1228070175,393250.1228070175,393250.1228070175,393250.1228070175,393250.1228070175,393250.1228070175,393250.1228070175,393250.1228070175,393250.1228070175,374415.8947368421,374415.8947368421,374415.8947368421,374415.8947368421,374415.8947368421,374415.8947368421,374415.8947368421,374415.8947368421,374415.8947368421,374415.8947368421
4,391933.08928571426,391933.08928571426,391933.08928571426,391933.08928571426,391933.08928571426,391933.08928571426,391933.08928571426,391933.08928571426,391933.08928571426,391933.08928571426,391933.08928571426,372328.91071428574,372328.91071428574,372328.91071428574,372328.91071428574,372328.91071428574,372328.91071428574,372328.91071428574,372328.91071428574,372328.91071428574,372328.91071428574
5,377425.16363636364,377425.16363636364,377425.16363636364,377425.16363636364,377425.16363636364,377425.16363636364,377425.16363636364,377425.16363636364,377425.16363636364,377425.16363636364,377425.16363636364,358866.3090909091,358866.3090909091,358866.3090909091,358866.3090909091,358866.3090909091,358866.3090909091,358866.3090909091,358866.3090909091,358866.3090909091,358866.3090909091
6,373787.5740740741,373787.5740740741,373787.5740740741,373787.5740740741,373787.5740740741,373787.5740740741,373787.5740740741,373787.5740740741,373787.5740740741,373787.5740740741,373787.5740740741,355040.81481481483,355040.81481481483,355040.81481481483,355040.81481481483,355040.81481481483,355040.81481481483,355040.81481481483,355040.81481481483,355040.81481481483,355040.81481481483
7,362047.58490566036,362047.58490566036,362047.58490566036,362047.58490566036,362047.58490566036,362047.58490566036,362047.58490566036,362047.58490566036,362047.58490566036,362047.58490566036,362047.58490566036,344085.358490566,344085.358490566,344085.358490566,344085.358490566,344085.358490566,344085.358490566,344085.358490566,344085.358490566,344085.358490566,344085.358490566
8,360038.96153846156,360038.96153846156,360038.96153846156,360038.96153846156,360038.96153846156,360038.96153846156,360038.96153846156,360038.96153846156,360038.96153846156,360038.96153846156,360038.96153846156,341941.3653846154,341941.3653846154,341941.3653846154,341941.3653846154,341941.3653846154,341941.3653846154,341941.3653846154,341941.3653846154,341941.3653846154,341941.3653846154
9,347461.17647058825,347461.17647058825,347461.17647058825,347461.17647058825,347461.17647058825,347461.17647058825,347461.17647058825,347461.17647058825,347461.17647058825,347461.17647058825,347461.17647058825,330167.45098039217,330167.45098039217,330167.45098039217,330167.45098039217,330167.45098039217,330167.45098039217,330167.45098039217,330167.45098039217,330167.45098039217,330167.45098039217
10,343867.44,343867.44,343867.44,343867.44,343867.44,343867.44,343867.44,343867.44,343867.44,343867.44,343867.44,326636.4,326636.4,326636.4,326636.4,326636.4,326636.4,326636.4,326636.4,326636.4,326636.4
11,333461.1632653061,333461.1632653061,333461.1632653061,333461.1632653061,333461.1632653061,333461.1632653061,333461.1632653061,333461.1632653061,333461.1632653061,333461.1632653061,333461.1632653061,317031.71428571426,317031.71428571426,317031.71428571426,317031.71428571426,317031.71428571426,317031.71428571426,317031.71428571426,317031.71428571426,317031.71428571426,317031.71428571426
12,331442.3541666667,331442.3541666667,331442.3541666667,331442.3541666667,331442.3541666667,331442.3541666667,331442.3541666667,331442.3541666667,331442.3541666667,331442.3541666667,331442.3541666667,315267.7291666667,315267.7291666667,315267.7291666667,315267.7291666667,315267.7291666667,315267.7291666667,315267.7291666667,315267.7291666667,315267.7291666667,315267.7291666667
13,320318.170212766,320318.170212766,320318.170212766,320318.170212766,320318.170212766,320318.170212766,320318.170212766,320318.170212766,320318.170212766,320318.170212766,320318.170212766,305237.8085106383,305237.8085106383,305237.8085106383,305237.8085106383,305237.8085106383,305237.8085106383,305237.8085106383,305237.8085106383,305237.8085106383,305237.8085106383
14,317084.5,317084.5,317084.5,317084.5,317084.5,317084.5,317084.5,317084.5,317084.5,317084.5,317084.5,302504.5,302504.5,302504.5,302504.5,302504.5,302504.5,302504.5,302504.5,302504.5,302504.5
15,308150.8,308150.8,308150.8,308150.8,308150.8,308150.8,308150.8,308150.8,308150.8,308150.8,308150.8,294449.5333333333,294449.5333333333,294449.5333333333,294449.5333333333,294449.5333333333,294449.5333333333,294449.5333333333,294449.5333333333,294449.5333333333,294449.5333333333
16,306626.0227272727,306626.0227272727,306626.0227272727,306626.0227272727,306626.0227272727,306626.0227272727,306626.0227272727,306626.0227272727,306626.0227272727,306626.0227272727,306626.0227272727,293203.9772727273,293203.9772727273,293203.9772727273,293203.9772727273,293203.9772727273,293203.9772727273,293203.9772727273,293203.9772727273,293203.9772727273,293203.9772727273
17,297247.0930232558,297247.0930232558,297247.0930232558,297247.0930232558,297247.0930232558,297247.0930232558,297247.0930232558,297247.0930232558,297247.0930232558,297247.0930232558,297247.0930232558,284512.25581395347,284512.25581395347,284512.25581395347,284512.25581395347,284512.25581395347,284512.25581395347,284512.25581395347,284512.25581395347,284512.25581395347,284512.25581395347
18,294797.5238095238,294797.5238095238,294797.5238095238,294797.5238095238,294797.5238095238,294797.5238095238,294797.5238095238,294797.5238095238,294797.5238095238,294797.5238095238,294797.5238095238,282257.4285714286,282257.4285714286,282257.4285714286,282257.4285714286,282257.4285714286,282257.4285714286,282257.4285714286,282257.4285714286,282257.4285714286,282257.4285714286
