horizon,n_cells,family,mean_pit,crps_quantile,crps_gaussian_surrogate,cov_50,cov_80,cov_90
1,23095170,quantile21,0.4637023357488755,0.19268748644963038,0.29869865046982386,0.6117038324463513,0.8723989474855565,0.9355811626413661
2,22453003,quantile21,0.47956789786312365,0.22270752504536692,0.3316292024228363,0.6326210796836397,0.8599793087811016,0.9271128231711366
3,21341706,quantile21,0.4911135316740786,0.24503412742016842,0.3509308905048618,0.6140641240208257,0.8491285560770071,0.9190014612702471
4,20850419,quantile21,0.49623513961370225,0.26341433064295117,0.3676998972366852,0.5980726814170977,0.8432259322942143,0.912227854989389
5,19737647,quantile21,0.4856440754722778,0.2877389354677851,0.387127069074196,0.48899025299216264,0.8250367938994957,0.900250622579277
6,19172204,quantile21,0.48756219581160115,0.30493238291827357,0.4043495969813299,0.4855175231809551,0.814264546736515,0.8923557771448708
7,18236524,quantile21,0.4959469347639,0.32024886371294237,0.4140553752511888,0.49848392160699045,0.804010457255999,0.8846333325363979
8,17780951,quantile21,0.5108017295206622,0.33196175789259663,0.42587993347651776,0.5558608198177927,0.79648411381371,0.8783644361879182
9,16838540,quantile21,0.4909878026108645,0.3487512967646799,0.4358423284666493,0.43996985486865253,0.766349279688144,0.8671051053119807
10,16331820,quantile21,0.5173646162464431,0.3617388756983438,0.44802427225353186,0.511588053260445,0.7707706183389237,0.861799236092487
11,15534554,quantile21,0.504859362176704,0.37466231908904934,0.45832787885653925,0.4274816644237099,0.7585340396640934,0.8526830573957901
12,15132851,quantile21,0.5103217388793357,0.38462998322843156,0.46668147348758526,0.42726291298315167,0.7564285804439627,0.8501220292197419
13,14346177,quantile21,0.5116570340616484,0.39913852135023287,0.4777087571187215,0.3946841029495175,0.7448771892330619,0.8414498859173423
14,13915207,quantile21,0.5140368230242814,0.4098678119432935,0.48797658040055397,0.3949088216941365,0.7364387033552573,0.8328662304484583
15,13250229,quantile21,0.5253256578872836,0.4197255778597092,0.49543271865775956,0.4611021439704929,0.7269962654985057,0.8260962885999933
16,12900975,quantile21,0.5232351200143249,0.42634788316146727,0.5022077009093487,0.40453678888611133,0.7199072938285672,0.8221453804848083
17,12234027,quantile21,0.5486206140654393,0.43606484709070914,0.5398339675396902,0.5068529765383059,0.7337386128050887,0.8390920667413927
18,11854812,quantile21,0.550271836018566,0.4424307887114037,0.5441379414076953,0.5017722761018901,0.7275176527472557,0.8334512601296419
19,11277405,quantile21,0.5576705423939662,0.4490306141551173,0.5468751473257366,0.49947749504429434,0.7194293368022164,0.8269933552976061
20,10960208,quantile21,0.5571420963456788,0.4532284482261567,0.5466577681835743,0.49816499832849886,0.7174602890748059,0.8249957482558725
pooled,327244429,quantile21,0.5056837996196191,0.336030700231433,0.4301267039498446,0.5086088020156945,0.7885109023506096,0.8745742528744469
