forecast_horizon,chronos_raw__pf_full,ffnn_large_b50__pf_full__seed60,ffnn_large_b50__pf_full__seed61,ffnn_large_b50__pf_full__seed62,ffnn_large_b50__pf_full__seed63,ffnn_large_b50__pf_full__seed64,ffnn_linear_b50__pf_full__seed60,ffnn_linear_b50__pf_full__seed61,ffnn_linear_b50__pf_full__seed62,ffnn_linear_b50__pf_full__seed63,ffnn_linear_b50__pf_full__seed64,forma_fgrid__pf_full__seed60,forma_fgrid__pf_full__seed61,forma_fgrid__pf_full__seed62,forma_fgrid__pf_full__seed63,forma_fgrid__pf_full__seed64,forma_lap05_fgrid__pf_full__seed60,forma_lap05_fgrid__pf_full__seed61,forma_lap05_fgrid__pf_full__seed62,forma_lap05_fgrid__pf_full__seed63,forma_lap05_fgrid__pf_full__seed64
1,0.2986769565801994,0.24412532821750624,0.2442138167624083,0.24380035891450846,0.2439705632121214,0.24315751634605742,0.25804525388429256,0.25773528066392204,0.2577610743547153,0.25811737931460915,0.25812596724007675,0.1876683450563918,0.1904767483887623,0.19014982271751993,0.1855811017622587,0.18817760181026663,0.1655568575125763,0.16652350382526004,0.16564812305466114,0.16603788900710856,0.16568334298332396
2,0.33162641645767776,0.26519378724979314,0.2648768330263775,0.2647459616112922,0.26468132946549333,0.2643960219946088,0.2795377712581199,0.27916094926587,0.2792780356574147,0.2795746637179681,0.2797263240522294,0.21871120812861908,0.22056629905844902,0.21828570118668306,0.21416556066570536,0.2163840427985114,0.1935202693178719,0.19430970617341164,0.19380467931082773,0.19370238016831015,0.19353156869052818
3,0.350932551264328,0.28178489251178573,0.2815614316685843,0.28129973134190484,0.28117486257467794,0.281012415496897,0.296453444519786,0.2962165224254812,0.2962138176529246,0.2963211183771677,0.29659931373998893,0.24193420909744773,0.24253806725907012,0.2392063320298229,0.2362631911882982,0.2383172994264876,0.21537470496266148,0.21609928386038574,0.2155532117501203,0.2154974809117083,0.21475697580120295
4,0.3676974280914646,0.2961378550186848,0.295986069309075,0.29568083337586915,0.2953500231869307,0.29545081120677913,0.3119644348544144,0.3117080022709489,0.31150076899712315,0.31181495507355844,0.31215501393936707,0.2606340125286128,0.26086333264125133,0.256524781842461,0.25418347459128454,0.2560862428465549,0.23285551252196895,0.23293250545353975,0.23273709722653263,0.23277378958984704,0.2315932424473806
5,0.38712192608531076,0.311760062584349,0.31187558514059116,0.31136859880909207,0.3114444795560194,0.311470690327953,0.32920399884108714,0.3290747410620925,0.32874618965877384,0.32908900994279344,0.3293951628122311,0.28244017029864704,0.2836512283316027,0.2779511202104403,0.27607882354658414,0.2768142443786386,0.25359779958962436,0.25408001048434536,0.25385117249157146,0.2533921582834192,0.2523353446732393
6,0.4043479187347189,0.32573677828817454,0.32600228113168084,0.32546705506812534,0.32531660083585,0.325508993196374,0.3437228413121813,0.34371495168487226,0.34351746272938655,0.3438293511774619,0.34392249802188224,0.2987094194545299,0.3002171062181835,0.29434823473618665,0.29257684342786044,0.2929894130478447,0.2694133338386351,0.26904217532416896,0.2693038282784335,0.2686965553276144,0.2679131305575527
7,0.4140435898957964,0.33738657768338,0.33767965307283904,0.3370760280303839,0.3370757945503251,0.33746418847781406,0.35562395647489664,0.3557150130277797,0.35537042499456095,0.35583873239575925,0.35578009844345454,0.3126738513398655,0.3131159716406248,0.3077353678606121,0.3071127175220171,0.30697773021066965,0.28332567877648096,0.28265707592482053,0.28249678974180387,0.2819681975422157,0.28130317868426674
8,0.4259293955730512,0.3471900616186176,0.3477179929132553,0.3471969203035335,0.34726232647391175,0.3475550503878391,0.36600494866430705,0.366223859986558,0.3658559200959635,0.3663062706163034,0.366229522066808,0.3241956552265178,0.32247390348113825,0.31973492883613375,0.3187135207930622,0.3186942715971077,0.2946469512103861,0.29282142969985964,0.29366253696816363,0.2930005584978425,0.2925388144547562
9,0.4358126132863575,0.35896955824842647,0.3599955657877861,0.35918804458886544,0.35923808336340024,0.35966396137982565,0.3781733486285852,0.37852992731603596,0.3781200197963362,0.37866937210216906,0.37846013623759295,0.338225212354827,0.33613234630327116,0.3348716522283349,0.33293826001933363,0.3333442555724345,0.30887892221440905,0.3066940426291582,0.3082010961249937,0.30702840612939364,0.30689477239188606
10,0.448020668381858,0.36995832740817547,0.3706614624320499,0.3701503542212509,0.3700496786846786,0.37062199555916936,0.3886608493461461,0.38883043603649214,0.3884131719934201,0.3887099980906912,0.38875656581601425,0.34905662775096635,0.3470197645238357,0.3465077760054969,0.3445741447293228,0.345412801150483,0.32033027348743875,0.31739364749277754,0.319435180399631,0.31796087506101983,0.3180516413005582
