horizon,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19
1,0.3982139988577698,0.32054234716609575,0.4213357165156178,0.5713601588557261,0.7700778994049405,1.0127745325104773,1.291356591010155,1.5616079032975294,1.827089387088296,1.9819901737029864,1.8618187265995445,1.6025039001661388,1.3694785533078995,1.116996324339678,0.909385815302507,0.7552592165374838,0.6273562827205861,0.5243373397987545,0.44556762301381625,0.6309475098039979
2,0.41691973229594276,0.32956482480316773,0.42905797500672854,0.5791207528008614,0.782616026907403,1.0335267848135947,1.320566340279739,1.6013136416540807,1.874044198007723,2.0213901899892854,1.877169837816349,1.583373057047202,1.3158952501810115,1.0557839412393968,0.8613832189841154,0.7160414132577276,0.5972528485387901,0.5023559654804304,0.4337842915711542,0.6688397093252961
3,0.4295036207508435,0.3424187363465695,0.4410228498134123,0.5906922342571864,0.7959569867563541,1.0505823667517489,1.3432534400014695,1.6300843053502845,1.8934737457258572,2.0290336676927327,1.8756091945039446,1.544074311585025,1.270386725409862,1.01738352126114,0.8314058866709156,0.6959209352804318,0.5854339854555207,0.4966669487434604,0.43786846281173586,0.699228074831506
4,0.44460977019214815,0.358628764246896,0.46036484926274146,0.6146754173141556,0.8223230430045554,1.0815811423262045,1.3780922100414386,1.6507610710365102,1.891345205101154,2.015204586536127,1.8501901568500854,1.5094219449498834,1.232049101747068,0.9866065521273217,0.8066878656011661,0.678085174211607,0.5728815329802246,0.4912553555878182,0.43819934745675854,0.7170369094261366
5,0.4541909174887969,0.3713917874810508,0.4763394542419368,0.6316507737725778,0.8418622544014491,1.1089184034956143,1.4082843816185384,1.6805356788476356,1.9082598852841983,2.0001198724447753,1.809436555431354,1.4720417281756026,1.1956582261299942,0.9548027685366954,0.7857066245029105,0.6642686435723568,0.567394887546626,0.4895659548476067,0.4452921870575555,0.7342790151227246
6,0.46903318992433,0.39067808792353764,0.49999572297478156,0.6568665762162764,0.8689872066873481,1.1379422000725634,1.4251746956166333,1.6881731490025873,1.908609985581209,1.9816521877192628,1.7914664375572051,1.4372672020389519,1.1622054511833904,0.929454954683353,0.7678564238102202,0.6519490403920175,0.5570574984493175,0.48700608443348503,0.4475124508376815,0.7411114548958482
7,0.4800750406162929,0.4050113936186523,0.516878106814654,0.6740824073710538,0.8883458273078795,1.1611423317294458,1.445697655978738,1.697417775448874,1.917595699706808,1.9709150713151256,1.7583910179374096,1.4083791406739574,1.1316454824395263,0.9047787835006277,0.7523111312221562,0.6433462868252744,0.5558318021570339,0.4869996058459386,0.45084688288184743,0.7503085566087047
8,0.4920692937065064,0.42181995777391207,0.5370983812958036,0.6987567762826634,0.9157417958128335,1.1920104835787468,1.4653366965580186,1.6960757610771213,1.9019736345935603,1.956526397266378,1.7384357000927566,1.3864803969146533,1.1121947301918778,0.8886487567509748,0.7400976471955858,0.6314184207582597,0.5489762611684831,0.48371316022410726,0.44694234858416737,0.7456834001735902
9,0.49647415987371823,0.4347882892459798,0.5505833641158913,0.7120759875856221,0.9321675157109821,1.2088886566174977,1.4723152957441679,1.689376869966161,1.8768658090309494,1.9599169524198654,1.7289551231876399,1.3712673426555986,1.0929985616330158,0.8767862296849964,0.7292853180857722,0.6291685621199938,0.5492067602060511,0.48486032637033855,0.45216984370378904,0.7518490320419703
10,0.5077364310897376,0.44785455632011617,0.5698348377584372,0.7307526044249814,0.9547998937044371,1.231383887405078,1.4845424453612641,1.7003775451847989,1.8728959785253574,1.9263070496735821,1.7011759865097706,1.3461977905707998,1.0694313309845445,0.8626313540070856,0.7240821904723417,0.6269197186841393,0.5464694075736813,0.48716432093912376,0.4551997266685526,0.7542429441421715
