horizon,n_cells,family,mean_pit,z2_mixture,crps_mixture,cov_50,cov_80,cov_90,cov_95
1,23095170,gaussian,0.49365218490488005,0.4654376158918876,0.257557797551316,0.8775562595988685,0.9518507982404979,0.9685800104524019,0.9775405420267528
2,22453003,gaussian,0.4913364721770348,0.5160948070212896,0.2790270920273339,0.8564337696832802,0.9446821879460845,0.9642415315225318,0.9746626765248283
3,21341706,gaussian,0.48956666759924,0.5516771503132248,0.29591830581514234,0.8403102825987763,0.9392407992125841,0.9611030627073581,0.9725991446044661
4,20850419,gaussian,0.4874191165724736,0.5790504836754946,0.3113636107787223,0.8250446190074165,0.9344311498008745,0.9583946970082472,0.9708948774602563
5,19737647,gaussian,0.4849376109190369,0.6113081439000456,0.3286183809530818,0.8081575275918148,0.9289288130444323,0.9554998627749296,0.969210210315343
6,19172204,gaussian,0.48191869457546416,0.636899320509635,0.3432463105224237,0.7944783500112976,0.9245403919132094,0.9531969303059784,0.9678416732891012
7,18236524,gaussian,0.4802028131653623,0.6522064508428684,0.35513545083944187,0.7853611795756691,0.9216170800970623,0.9517259429483382,0.9670809524885334
8,17780951,gaussian,0.47796844739105193,0.6625284431429148,0.36554726487875117,0.7765928830240857,0.9191559551567292,0.9505277304909057,0.9664950429254319
9,16838540,gaussian,0.47615055885984714,0.6751882538165994,0.37773771698401404,0.7666063684856288,0.9162822905073718,0.9493151425242331,0.965934160562614
10,16331820,gaussian,0.4742281585863491,0.680732139528164,0.3879177426026672,0.7587951006072807,0.9141929068530023,0.9485117396591439,0.9656754727887032
11,15534554,gaussian,0.4738152624514882,0.682733980698831,0.3962799621756032,0.7540188794605883,0.9130433355215734,0.948079230340311,0.9656104063238635
12,15132851,gaussian,0.47258100952336396,0.6853120817688819,0.4039734150044648,0.7495295499836746,0.9119643086421719,0.9477475856994826,0.9655671624600017
13,14346177,gaussian,0.47172476607892416,0.6927117351216503,0.4140522545808772,0.7433974918893026,0.9101217697230419,0.9469894314004351,0.965219653988655
14,13915207,gaussian,0.47131052442294796,0.7069173449375905,0.4248747811397426,0.7360208152131693,0.9075561721791131,0.945696963041944,0.9644464505630422
15,13250229,gaussian,0.47130208673475177,0.7186741973117667,0.4347143321194678,0.7296873887990917,0.9051455638993107,0.9444584693592842,0.9637860598484751
16,12900975,gaussian,0.4705670625049882,0.7195519214154292,0.4414111608558246,0.72561833504832,0.9042448342082672,0.9441834434994254,0.9637952945416917
17,12234027,gaussian,0.47042455478294976,0.718672947949327,0.4493320743668313,0.7229561451842472,0.9037717507080866,0.9441920473119767,0.9639867559553367
18,11854812,gaussian,0.4699225884627728,0.7161433650671295,0.45574591627676964,0.7211775268979381,0.9039235712890259,0.9445262396400719,0.9642227139494072
19,11277405,gaussian,0.4693667359804555,0.720549417743881,0.4636448057999744,0.717904340581898,0.902701286333159,0.9439770940211866,0.9639626314741734
20,10960208,gaussian,0.4687146940524967,0.7251221870797606,0.47041918296398993,0.7142604410427248,0.9015879990598719,0.9434632079975125,0.963724411069571
pooled,327244429,gaussian,0.47910247715993787,0.6402994050699087,0.3685951958955965,0.7809418964929117,0.9211948540153758,0.952275859828312,0.9679187449207882
