horizon,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19
1,0.2688614112820992,0.15774120736067324,0.183950150615908,0.24539676477808997,0.34601260783098803,0.510453051438894,0.7840479199763415,1.3185276401948978,2.5053654075722327,4.7108152916822,3.8570133928436117,1.8194237150018813,1.0141644335157523,0.6212052130380509,0.41010912671350763,0.29449014664105094,0.22663613214364733,0.18940497082290367,0.17684303687740768,0.35953837966986174
2,0.29923035239428775,0.18237560472423223,0.21846253706018748,0.29295502254197353,0.4159140761705683,0.6111227081740469,0.9293527462673924,1.5072513908273204,2.6182466550242744,4.193382951937431,3.2933786184413725,1.754796897323712,1.0642460609834685,0.6860605683792053,0.47083679630738035,0.3444626092999676,0.2685591766945384,0.22461494348885092,0.20881126680471204,0.4159390171550772
3,0.3204692258435198,0.20414113098549852,0.2469362102542318,0.33373152080719326,0.47113946748212165,0.6894706543141396,1.0343231229968213,1.612407180569351,2.65103361465105,3.827840192344511,2.9623067621679358,1.7056677662038826,1.0873020179361481,0.7255343129551124,0.510320027836575,0.3787925857473624,0.29741952213192324,0.25059102585332216,0.2331041389099822,0.45746952000931884
4,0.3411020181416978,0.2245959661530063,0.2761038039571291,0.3754236305754815,0.5309687061924271,0.7699432802765259,1.1342716901756267,1.7042372146094522,2.646136751496457,3.4857524925518284,2.7034852393134163,1.6570487144646828,1.1013188751746428,0.7548500584088981,0.5438480636768018,0.40823735964250885,0.32382370829094614,0.27317340721066563,0.254674977994447,0.49100404169335876
5,0.36209787316593517,0.25329361701523995,0.3114687378895772,0.4227768385968195,0.5955461661666155,0.8506576290476773,1.2154751779682755,1.7631868682219314,2.6118766841863166,3.2098213125404462,2.501524117844442,1.587455688107098,1.0904805420828532,0.7675869367812688,0.5650855950559862,0.43622930332070486,0.3506952981781466,0.2987093649004869,0.2781273775947052,0.5279048713354738
6,0.38193730882479654,0.27646169423192035,0.3453875203915001,0.4670594992625782,0.6530360307036165,0.9193340525690213,1.287331388712534,1.8163096950147204,2.576688626930946,3.005211085799004,2.3397904591459593,1.527374734798357,1.0719487441297828,0.7695234204685074,0.5760547926571197,0.4522526465919098,0.3676301378808613,0.3158750032077689,0.2966690736234603,0.5541240850556357
7,0.394540099856749,0.29378954015578845,0.36722678071764114,0.4952095037409542,0.6897005152955683,0.9674935859487257,1.3320191940086827,1.8516072470828324,2.5383675090713558,2.844503700376234,2.248062185534919,1.502077917919007,1.0651295170066402,0.7734160303794736,0.5845467041855126,0.4630860574087474,0.38142466184893564,0.3284704914160177,0.30838771686972805,0.5709410411764874
8,0.4074821419844191,0.30932653714641023,0.3901096178713951,0.5285364095542471,0.7307708119773797,1.01563521546176,1.3826605787283255,1.8790232310971444,2.490827402876258,2.719005299547814,2.152927590880825,1.4663253950815116,1.0553653738767965,0.7770889194846777,0.5929986534466013,0.473075933902523,0.3915797304654852,0.3371889388818405,0.3181089695371187,0.581963248197467
9,0.4177072359004997,0.33004405370061773,0.41675822250622674,0.5633077452083137,0.7737963030048923,1.0611323784603652,1.4206386064349996,1.8965599155271182,2.428196268797651,2.584017379178955,2.079582909207093,1.4336551743797266,1.0456904220912264,0.7795782769765075,0.6030760386589336,0.4853116719145484,0.4036810792384613,0.35066341856241695,0.33061298663660865,0.5959899136148383
10,0.42839316132555955,0.3470048041185857,0.4400060740321654,0.5942240362678501,0.8062261278902167,1.0968306043049703,1.4519471804122257,1.9145986179127616,2.389699372145909,2.484117508030336,2.000592707977433,1.4119430657452754,1.0365348136337529,0.7801482014864235,0.6094899404965276,0.49540222706348713,0.4133072737759784,0.358790385884733,0.3393718520042469,0.6013720454915619
11,0.4305228202882426,0.3551489151217344,0.4531266233971055,0.6093898801343122,0.8235949355224488,1.116183959964348,1.4726486515158401,1.9178831912393492,2.3555011621189768,2.4113032147559563,1.9718570613614013,1.3988930741107855,1.0359833954679356,0.7829371863524373,0.6171866923247362,0.5041805513051743,0.42128148642053065,0.36891564444013003,0.34556898125301827,0.6078925729055369
12,0.4360764538023932,0.3641058780001204,0.46811271716083114,0.6263750300587774,0.8468146550838306,1.1451179952805983,1.5029091345708752,1.9249195012889508,2.3095436543979715,2.356292280945606,1.920461649956112,1.3884957963307774,1.0320038173903914,0.7881647681590204,0.6226824013531885,0.5073386369825488,0.4264880424713096,0.37356609141264924,0.3515596631460919,0.608971832207956
13,0.4431257191375793,0.3772879701679409,0.4842042587373626,0.6449300046974187,0.8691040128669819,1.1674552739729895,1.518875725567864,1.928609970447179,2.2739856060607644,2.2889066543651317,1.8855824795692957,1.3681888910195377,1.0250953964948293,0.785685273505269,0.6255645667831924,0.5161974510700655,0.4367379546481268,0.3833118746548297,0.36006526337992345,0.6170856528537184
14,0.4543532841444615,0.38930789890513307,0.5015103260770752,0.6647331944109779,0.8921088992783219,1.1936265123472471,1.5340612611799451,1.9261517273871673,2.2246869917206404,2.2152182141451435,1.8327014466978464,1.3471377033773195,1.020004948542986,0.7918214942831968,0.6350060045818938,0.5269213745796235,0.4500198954999376,0.39541344947293994,0.3735079183514841,0.6317074550166591
15,0.46546818171972726,0.4021122955686275,0.5142613006914823,0.6789407186849374,0.9070363991444979,1.2050297394860119,1.548143809439067,1.9306941789458885,2.1876180404127354,2.1378241840197627,1.7808733720753054,1.3349942857591368,1.0232653337538544,0.7982971464115828,0.647007685678489,0.5400148178571103,0.4614124027592278,0.40749786286712475,0.38414581363084366,0.6453624310945871
16,0.4696621766959474,0.4099039026120119,0.5239898534800664,0.6932204736463716,0.9293902205065896,1.2283645228364524,1.5637128201550656,1.9261799980234051,2.152091605479431,2.089807940872686,1.7468168103573567,1.3297940659523797,1.0242171618811755,0.8005332930263023,0.6508484823821457,0.5448533928637177,0.4666127947693876,0.4144632479328113,0.38886828321115263,0.646668953315544
17,0.47092098129258664,0.41629465097633017,0.5344830447080099,0.7035590161767667,0.937063486945059,1.233489185531469,1.5666141655564436,1.917756107616895,2.121594140670116,2.06546707801119,1.7346520487489525,1.329897342878187,1.0290560908521782,0.8063869729893518,0.6542097708301609,0.5488119324896046,0.471764530191081,0.4206300999662662,0.39211128110147214,0.6452380724678799
18,0.46783027854005615,0.419772156656723,0.5414712607842284,0.7139345609192284,0.9476539990680577,1.2496444481785118,1.57829748797366,1.9155175130571451,2.096687826006857,2.0392309890700924,1.7287376636592802,1.3230526135716028,1.0287299368391503,0.8059444552979835,0.6577076043044799,0.5521470943613446,0.4769894284278823,0.42272454426101397,0.39228121036419644,0.6416449286585059
19,0.47322943531778805,0.4280896181346684,0.5506036184742855,0.7272027563078564,0.9586868610287562,1.2612759761665029,1.590034232165999,1.9171963762940145,2.0731489203411604,1.9967749672907908,1.700685574385242,1.3210007089396898,1.0278251069284112,0.8097412480974125,0.6604037010287385,0.5538809681837267,0.47972738409235105,0.4258373269382451,0.39742653562588204,0.6472286842584797
20,0.47829019303283293,0.4360136230991236,0.5613050409262306,0.741953072423443,0.9781985889318889,1.2747239833404622,1.5921814622496218,1.9003197749531762,2.0481983553596796,1.9687929280174246,1.688796417002305,1.3156593378519823,1.0219879038791964,0.8093532531499402,0.6651954050507071,0.5560733883882495,0.48084306429221046,0.42817800538091977,0.4014905556536883,0.652445647016918
pooled,0.39694817845164904,0.3095818019258014,0.39031546049634963,0.5222522520009042,0.7127068311375286,0.9782246285390545,1.321897094847106,1.7928182972978892,2.409088589862595,2.897533024160359,2.3273125911640804,1.500063244774138,1.0488995673628412,0.7620449972579977,0.5809558945921734,0.46315398084286413,0.38370602788779634,0.3329245980838378,0.3120383143329233,0.5575346249821109
