horizon,n_cells,family,mean_pit,z2_mixture,crps_mixture,cov_50,cov_80,cov_90,cov_95
1,23095170,laplace,0.5138042856220053,11.493936225034494,0.16370406135233223,0.6827734110638718,0.8766122093926999,0.9283903084497754,0.9531528886775893
2,22453003,laplace,0.5086746150554543,11.14293546658212,0.19178460837518368,0.6678859838926668,0.8659955641568302,0.9211480531134298,0.9480603552228626
3,21341706,laplace,0.5046411895246736,10.240012086730793,0.21347996213053394,0.6582017857429017,0.858821736181728,0.9164535862315787,0.9449178992532274
4,20850419,laplace,0.5000100611322175,9.231422448866022,0.2305595209337089,0.6537761663206864,0.8560172819548615,0.9147996018689121,0.944047551274629
5,19737647,laplace,0.4978997541437997,8.258009149691295,0.2509140240891387,0.6458808894494871,0.853691222667018,0.9146720984522623,0.9446698991019548
6,19172204,laplace,0.4950337607373705,7.446575043561181,0.26638292837722205,0.6406511739599683,0.8516313513042111,0.9139346733427205,0.9445848792345418
7,18236524,laplace,0.49386413082497704,6.8123571205781746,0.27958527549212364,0.6365919294707698,0.8498286186556167,0.913233793896249,0.9445250640966447
8,17780951,laplace,0.4913205199162192,6.285761929995597,0.29056557429145974,0.6338729013988059,0.8490002025201014,0.913215665461313,0.9448247171931355
9,16838540,laplace,0.49034687920548264,5.914659833624062,0.30446286848232096,0.6300638891495344,0.8486112810255521,0.9138446682432088,0.9456364387886361
10,16331820,laplace,0.4891600936237236,5.489963628270958,0.31545854229578923,0.6284249397801347,0.8488576288496934,0.9145167531848869,0.9463899308221619
11,15534554,laplace,0.4885426135366552,5.210817823829211,0.3256657349329217,0.6256921827301898,0.8475386547949816,0.9140589424067147,0.9462842640992462
12,15132851,laplace,0.48723891804963915,4.932069066492156,0.33376794245680874,0.6235935977959474,0.8472556823562196,0.9143587682188902,0.9467864317173281
13,14346177,laplace,0.4872861038387115,4.7257770235408705,0.3451300524271896,0.6216286053071839,0.8471787989232253,0.9149486305654809,0.9475077576416351
14,13915207,laplace,0.48613795720901837,4.455263226286168,0.3544526178012073,0.6197654120416606,0.8471519683465722,0.9154897947260145,0.9482030702094478
15,13250229,laplace,0.48641312915416207,4.19103911017156,0.36334803870424354,0.6185413852092669,0.8467556296574195,0.915527346734913,0.9484356836398827
16,12900975,laplace,0.48494436598448765,3.9474186326242475,0.37013307268430024,0.6177378841521668,0.8471105478461899,0.916158042318507,0.9490717562044729
17,12234027,laplace,0.48537248933098653,3.7683195554966384,0.3803899607898111,0.6174468962672716,0.8478905596660854,0.9171376685698013,0.9499024319629179
18,11854812,laplace,0.4842976556136796,3.5867925690873257,0.38843069204550873,0.6163552825637387,0.8481890729266731,0.9177369493501879,0.9505040653533772
19,11277405,laplace,0.484054706453736,3.407881495932437,0.39636346159188823,0.6152562579777884,0.8477801409100764,0.917640184067168,0.9506183381726558
20,10960208,laplace,0.4822083006393691,3.260724485763096,0.40212710471124025,0.6132518652930674,0.8470838327155835,0.9174212752166747,0.9506797681211889
pooled,327244429,laplace,0.49391830408987797,6.7604182113998235,0.29266373273966906,0.6374794297873287,0.8530077772538642,0.9164501437547773,0.947197084293221
