horizon,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19
1,0.6051066088710323,0.5000474125109277,0.5645258294266723,0.6281755016308604,0.6914432758018235,0.769617197015653,0.8739758139905442,1.0594752062877215,1.4039680158232217,2.100039965066289,2.477810728390395,1.7431826654664158,1.3014574042970888,1.0401534173595604,0.885787807580546,0.7621836080877518,0.650912723309679,0.5795350283197742,0.5355145686305838,0.8270872221334591
2,0.6596667715227224,0.545083434941865,0.6154998509553488,0.6800497911125741,0.7372314518463299,0.7979957068548915,0.8743302621925451,1.0087211942206573,1.3028698210212684,2.1622818114797386,2.620800433688091,1.6464871090962754,1.1747747060827454,0.950816244936145,0.8186423882809796,0.707712015181221,0.6327171470114711,0.5889813491763217,0.557966344190129,0.9173721662086805
3,0.6991727840314171,0.5794888187476671,0.6497549914706913,0.7131510479996305,0.7640729377492127,0.8116174030323536,0.8753292731143424,0.977583516519251,1.2306935537393309,2.2185574105462798,2.7756721979020798,1.5562701500995282,1.0793382684589508,0.8817420687924387,0.7572318726534795,0.673818672227984,0.6221377053924368,0.5894636539365691,0.5731481822493478,0.9717554913370094
4,0.7161189422620236,0.6048195002699945,0.6745715757558637,0.7399266173020312,0.7917644244942991,0.8356445978375782,0.892308207331469,0.976234578307515,1.2008401365938977,2.2763465808528833,2.874088045904497,1.4756557170385882,1.0086348864260233,0.8252697463777586,0.7105008297435174,0.6476339875951653,0.6087167840607903,0.5822089234753508,0.5708268980110184,0.9878890203597347
5,0.7054082991756818,0.6284416779771165,0.7097482288542296,0.7762455170061557,0.8190003600733158,0.8537147310416484,0.8988487837481338,0.9598317367819984,1.1472380674352924,2.3017566379619616,2.9436021426464865,1.4016067872730726,0.9476975649630375,0.7751420420073375,0.6881792951307721,0.64099940585623,0.6134783948664195,0.5967347576942682,0.5911758377277697,1.0011497317790716
6,0.7159197763595672,0.6492305214361374,0.739109598458268,0.8009668580618066,0.8405043050866766,0.8698937273982689,0.9008364400879523,0.9548417072966676,1.1161721417109896,2.311807239272021,2.9916174478427204,1.351339679047855,0.9062161032711733,0.7407077454423081,0.6695912478294097,0.6315851844680976,0.6094604459664628,0.5979771548435433,0.5968359193340526,1.0053867567860222
7,0.7221485848947968,0.6646979435335375,0.756560844599552,0.8167609134284581,0.8529980823099841,0.8760934923782625,0.9036886634755614,0.9452656657595493,1.0793745562476709,2.279025323027568,3.051252530361597,1.3318426252722284,0.88044081207581,0.7241050980987386,0.6607498227184084,0.6274978718532107,0.6100405976489818,0.6008754738567503,0.6034055612791122,1.0131755371802216
8,0.7293524401478864,0.6805653983299319,0.7735368035151775,0.8359136696344307,0.8730117978504075,0.892351595817344,0.9158576501335615,0.9491652049432002,1.0650825144279403,2.242013939524382,3.090396008627435,1.3050483070337466,0.8591205273553704,0.7094389945734624,0.6489832855396767,0.6186407015012864,0.6040543050818823,0.5973887448427252,0.6037438604943008,1.0063342506258524
9,0.7189293133490195,0.6933439597494795,0.794600957090104,0.854961297119584,0.8851289957442866,0.9009415305602504,0.9167991999306353,0.941693282196675,1.045840078771675,2.2383627084058357,3.1237304421879806,1.2651928255062495,0.8296241835693594,0.6934722369041496,0.6456212949578765,0.6218555765523615,0.6094115047979219,0.6049895062160972,0.6113237846036533,1.0041773217868057
10,0.7133656873514403,0.7004657166194582,0.8057277143637389,0.8652152668839113,0.8948261736903786,0.906288460196108,0.9231157335802133,0.9430143119382899,1.0406470313780094,2.270642218687201,3.139819077114492,1.2161155339698821,0.8011183076962641,0.6852769623961077,0.6424611586461276,0.6244080573996039,0.6131110923338611,0.6053654767196798,0.6127167700844118,0.9962992489508211
