forecast_horizon,chronos_raw__pf_full,ffnn_large_b50__pf_full__seed60,ffnn_large_b50__pf_full__seed61,ffnn_large_b50__pf_full__seed62,ffnn_large_b50__pf_full__seed63,ffnn_large_b50__pf_full__seed64,ffnn_linear_b50__pf_full__seed60,ffnn_linear_b50__pf_full__seed61,ffnn_linear_b50__pf_full__seed62,ffnn_linear_b50__pf_full__seed63,ffnn_linear_b50__pf_full__seed64,forma_fgrid__pf_full__seed60,forma_fgrid__pf_full__seed61,forma_fgrid__pf_full__seed62,forma_fgrid__pf_full__seed63,forma_fgrid__pf_full__seed64,forma_lap05_fgrid__pf_full__seed60,forma_lap05_fgrid__pf_full__seed61,forma_lap05_fgrid__pf_full__seed62,forma_lap05_fgrid__pf_full__seed63,forma_lap05_fgrid__pf_full__seed64
1,0.26436815027227983,0.3124463619749002,0.31341345633666506,0.31204151057773233,0.311818227537551,0.3107506617258295,0.25687430907067027,0.25690552865081545,0.2566053921077056,0.25739807101024786,0.2571833420951906,0.23246124545179353,0.23524567879310837,0.23627424492674656,0.2355504820630297,0.23642563472637101,0.20680186504850692,0.20883464321112477,0.20660381316938964,0.20840449837916486,0.2079759658199755
2,0.30496353670500026,0.3390107179066734,0.33898563665740106,0.33769750597219644,0.33743770033476445,0.33730567104941783,0.2945509978610909,0.2944558661445742,0.29440558133135225,0.295115205748961,0.29525119189090954,0.27061899432059755,0.2727272351084257,0.27143389425875586,0.2705103386706315,0.2717604551223353,0.24110474367152973,0.24319791219308384,0.24158832212234455,0.2425779622154208,0.2422646760406684
3,0.33399492452757373,0.36004535487658323,0.3603316686925755,0.3586310573841169,0.35852421907881055,0.358447032191253,0.32367069056864556,0.32350506532161494,0.3235043851857185,0.3239880232966118,0.32411095609112883,0.3008122749821072,0.30170329622317016,0.29829311571453565,0.29847422680202257,0.300392371946428,0.2679962112437788,0.2702066318267316,0.26866582557023755,0.26942189867780875,0.268432427407225
4,0.3571513759462918,0.37923230814297093,0.3795663620426963,0.37772466856607123,0.37753885773787405,0.37800236688663397,0.3509421075838606,0.3505694752743853,0.34983443338680753,0.3507249861128214,0.3511442825372632,0.32568206330851746,0.3258869625970913,0.3207597889999129,0.32156988921652385,0.3236714150150401,0.289631203174587,0.2911726280283426,0.2900666550272492,0.29082516847043033,0.2892565626414902
5,0.38983117654827515,0.400174709735273,0.40104309999612703,0.39900104233856654,0.39899207098993394,0.3995406254757715,0.3797175972437027,0.37956075016472995,0.3789040934424723,0.379548777631727,0.3800554639701659,0.3562009207839386,0.35692711905562197,0.3501415523997434,0.3513387456570646,0.35168684050717813,0.31659395555953895,0.3186573489878416,0.31747048438826175,0.31756327538191614,0.3159861110912202
6,0.4126773874663576,0.41917127527199466,0.42010846775940297,0.41792309879743955,0.41799860190895516,0.418923080716809,0.40403229650662015,0.40390718639520773,0.40351291314816873,0.4046718631347439,0.4045900929680849,0.37887316307886526,0.3795404969745938,0.3717865442659751,0.3742213810367974,0.37338785692204474,0.3368738817615017,0.33790001464691993,0.3372594940223997,0.33721596687625266,0.3360279257680791
7,0.4312748740321416,0.4354072876624553,0.4365822925670243,0.4338989946426256,0.4339591144584444,0.43507889578858167,0.4234083261848625,0.4236855710143677,0.4228696381588814,0.4238284869657083,0.4236726740545917,0.39865186018956517,0.39757673634711815,0.38923104481105686,0.39420717452516296,0.3922935968044583,0.3546133174471507,0.35558433532285155,0.35390323961693204,0.35414786126329467,0.3529886589667026
8,0.44560184500985706,0.4490080780493524,0.45057141204756396,0.44869877650679496,0.44860487867483384,0.44950252335000235,0.44093586814581437,0.4413713102831875,0.4405624926936168,0.44183788065812624,0.441311135234206,0.4149493219400659,0.4110736994681978,0.4055427026292951,0.4105552354321977,0.4087258555916467,0.36932924936750333,0.3688108770146583,0.36810543812880747,0.36854081392487403,0.36733404249201246
9,0.46676402945901674,0.4649846363026721,0.4675484711346527,0.46489808428348856,0.46519315810926903,0.4660498901725276,0.461332885585802,0.46178753064061767,0.4611451662879245,0.4622309192685202,0.4617851594431201,0.43498840092513275,0.4309007626597731,0.4266479674708938,0.43064770797473084,0.4292796465920332,0.38833673286782777,0.38724338645141726,0.3872202291148467,0.38719636001727126,0.38626852430239367
10,0.4830142176522448,0.4807208592691619,0.48258038865739056,0.4807409230598059,0.48028906813906935,0.48216734559458346,0.4789115421390179,0.47929948629572683,0.4786859410818668,0.478983987644599,0.4792860164593392,0.44999355641573763,0.4464194617715544,0.44268174860766263,0.4469833333526895,0.44634826823549356,0.40327649853790754,0.4013846124999173,0.40183859493741436,0.4014023832092007,0.4009258156425878
11,0.4987195089679007,0.4941906001114962,0.4963125030439526,0.4941500419444877,0.4937207831646601,0.4949201535152901,0.4924083114700526,0.49297129690531144,0.49249688275575365,0.4929722970248703,0.4922825155424032,0.4633668471014592,0.4596634951962065,0.4549065119902987,0.4618222704100509,0.46132754802162523,0.41712534980453303,0.41448247213269757,0.414717779794572,0.41480446508741914,0.4143581094744371
12,0.509857047512309,0.5056849385673866,0.50760745829202,0.5065632933794655,0.5059246999745284,0.5064544099630562,0.505393869465902,0.5055979240811843,0.5054000810933654,0.5053998959014618,0.5050876499014918,0.4762415637974743,0.4712340654649347,0.4658726107071243,0.47383888211318637,0.4729172521273864,0.4285737066975393,0.42468172862787334,0.42540077706207025,0.42599988899239455,0.4252806352489305
13,0.5272404772510232,0.5196169737917838,0.5227997609530971,0.520570765379809,0.5197477137554,0.5207046115758522,0.5210054113057877,0.5214879990593511,0.5208983558174803,0.5212924099240167,0.5210959112448756,0.49487788265643823,0.48868064725725985,0.48109044835331966,0.49068005613908283,0.48882006677491324,0.4441027148833537,0.4401277639839368,0.44048915687046797,0.44219364769065644,0.4409651371806072
14,0.5405065062368429,0.5331525956176809,0.5364402806377498,0.5343618254333062,0.5340241273050124,0.5356550622622102,0.5380788452815977,0.5384157173054165,0.5380035286017659,0.5384002905574125,0.5385471588504714,0.5104056020330595,0.5026575988897976,0.49373425137948196,0.5043296669993359,0.5021447796730992,0.4568638006196001,0.45182039127869467,0.45281710410573717,0.45480080245428883,0.4539463111453836
15,0.5515330950334951,0.5456137496973793,0.5499305986437013,0.5474689692853498,0.5463782530719389,0.547426637350168,0.5538355712558192,0.5539898102945431,0.5540764469799034,0.554504778602241,0.5537917087933584,0.5230863216163675,0.5144258039321205,0.5043651361841023,0.51687681347693,0.5148756388644059,0.468764314815774,0.4639494204990203,0.46404503471820074,0.4665537918368456,0.4658339248259585
16,0.5592295036010199,0.5559294963141509,0.5597682941679993,0.5577008266942162,0.557638506432595,0.5583345185374262,0.5648799738806025,0.5653415535908699,0.5652740697898111,0.565279192094593,0.5653098398012196,0.5329710339135123,0.5234208155344652,0.5142212705297002,0.5273026865625159,0.5256703349962449,0.4786181557615628,0.4718889427125711,0.47322108860043177,0.47585856448428876,0.4749005091226976
17,0.5773045105006873,0.5694523359695471,0.5737704180354916,0.5713214998020609,0.5706140047624688,0.5718305518087655,0.5765962403369876,0.5776691154309732,0.5771205001217802,0.5776606511175193,0.5775107500414818,0.5485159067854588,0.5374780069440415,0.5280213182690754,0.5416969771951183,0.541418723547996,0.4930718581461937,0.4858174523460787,0.4870421944908306,0.4903106140579446,0.4893064699416748
18,0.585261308046253,0.5820724296951768,0.5870814759957544,0.5850133059573115,0.5842144571229897,0.5859845400307123,0.5870252694340112,0.5881995112520524,0.587056790443343,0.5880568149473385,0.5870640885849066,0.5606359169845894,0.5479185482366968,0.5404803929882858,0.5522615192348663,0.5543837232142894,0.5040792846414874,0.4948322642755177,0.49795974268262155,0.5007520756295527,0.5005536767279407
19,0.5923304584904726,0.5934850073882033,0.5989926030618289,0.5968788621477501,0.5950741199292694,0.5969111447380784,0.59949268123799,0.6002136836812869,0.5993755068484322,0.5993329725661518,0.5989708737235325,0.5711298047500083,0.5565040753543514,0.5501685434257921,0.5607992226628169,0.5665340034231245,0.5146445087674226,0.5048231590209138,0.5076529108179789,0.5110314337861611,0.5117858864989855
20,0.5972177211260887,0.6036698226707383,0.608147849756264,0.6058074758193264,0.6048712793127573,0.6055624075731892,0.6101469950414145,0.6105353910530762,0.6097971922962998,0.6098947503011319,0.6100602605306396,0.5781839538484388,0.5638677657320935,0.5585680227044031,0.5663154712244564,0.5762587162497148,0.5226509584712599,0.5122045512571786,0.5152714331146458,0.5187774710536756,0.5195914602076501
