forecast_horizon,chronos_raw__pf_full,ffnn_large_b50__pf_full__seed60,ffnn_large_b50__pf_full__seed61,ffnn_large_b50__pf_full__seed62,ffnn_large_b50__pf_full__seed63,ffnn_large_b50__pf_full__seed64,ffnn_linear_b50__pf_full__seed60,ffnn_linear_b50__pf_full__seed61,ffnn_linear_b50__pf_full__seed62,ffnn_linear_b50__pf_full__seed63,ffnn_linear_b50__pf_full__seed64,forma_fgrid__pf_full__seed60,forma_fgrid__pf_full__seed61,forma_fgrid__pf_full__seed62,forma_fgrid__pf_full__seed63,forma_fgrid__pf_full__seed64,forma_lap05_fgrid__pf_full__seed60,forma_lap05_fgrid__pf_full__seed61,forma_lap05_fgrid__pf_full__seed62,forma_lap05_fgrid__pf_full__seed63,forma_lap05_fgrid__pf_full__seed64
1,15830.27502321986,0.4844641651719358,0.4902043997656223,0.4921680263657397,0.4903473040605426,0.48902678858633103,0.7029570525224829,0.7045691208015048,0.7021832337471653,0.7031226505157475,0.7027138891049954,0.12866432731024163,0.12994842800790427,0.1393554953010714,0.2170444986001719,0.1750033449810995,-0.6376508118996635,-0.5855044143281826,-0.6295404379041625,-0.581966701392911,-0.6062554389184435
2,23110.953306173014,0.58103675864975,0.5836523043444384,0.5856252474324742,0.5832012646751672,0.5845758655596529,0.7662333677066168,0.7683829664294574,0.76769752005029,0.7666894984924463,0.7666088886596555,0.32120613938862835,0.3272797420843461,0.3317674392428475,0.39186187944067274,0.3733538375863953,-0.37064574270185924,-0.33853605323491986,-0.36200770316216674,-0.3276679079887718,-0.3486665733323962
3,30427.13079611233,0.6477717129361363,0.6500191741630484,0.6504831055577075,0.6488694247974494,0.6509234462849831,0.8146265088806108,0.8159078155973152,0.8156282225482091,0.8151943225118319,0.8145488682554466,0.44293996829223287,0.4491932755338008,0.4530179598789991,0.4998856526993836,0.5043795251618757,-0.19585670303302852,-0.1737731339556013,-0.18958731285783356,-0.16229185087789486,-0.18219774940058447
4,36291.45621666148,0.7033284954660604,0.7042784495937815,0.705036957142854,0.701786781972062,0.7051440676983404,0.8574549457135351,0.8578031095852271,0.8569852062884791,0.8578579843972657,0.8569651053215674,0.5306558032549182,0.536796003160654,0.5384065046032228,0.5779598531704564,0.5938115823308954,-0.07233529966764919,-0.05734409481844742,-0.06559257302386913,-0.044106035740654324,-0.06487944364268507
5,42665.881420722515,0.7581258046224755,0.760228976793872,0.7593133760411258,0.7586529775498947,0.760427703419513,0.9024481843176936,0.9027581203410757,0.9028459437972554,0.9031014929093472,0.9028733770306248,0.6209888649970471,0.6312287592616526,0.6288737034158455,0.6661647203975427,0.6790879849500059,0.05797064506735686,0.07297607588582017,0.0667787743851947,0.08422375952611398,0.0649773754166335
6,47426.960817042505,0.8049662445525901,0.8068260966104059,0.8058687108389154,0.8055993289025553,0.8072506413449951,0.9415961562267942,0.9414416460169857,0.9415421207376738,0.9418301807806297,0.9419963115217596,0.6840444405433446,0.6951785569029336,0.6895780089656982,0.7251585638983167,0.7352121477659099,0.14816723804744075,0.15820264223447875,0.15562130954119102,0.17181670987912653,0.15266826721961244
7,53125.2983001717,0.8417811340270045,0.8437970221328801,0.8423978376275255,0.8422399169541169,0.8441341381203881,0.9718852701020365,0.9720815296712871,0.9716868044342941,0.972636918818608,0.9728196263545423,0.7354091842314638,0.7444906744303085,0.7365401062751241,0.77573347180871,0.7823761934108456,0.2249479615666506,0.232620049172497,0.2283206545713274,0.24497755481682773,0.2261770008332269
8,56726.700995810126,0.8721567947735115,0.8743424757697613,0.8729679764323174,0.873266148523462,0.8748861138780036,0.9972193233014923,0.9980507745240684,0.9973751288681727,0.9980152206307311,0.9978604510654727,0.7751019069613804,0.7794217330091362,0.7737493043613383,0.8069941192111502,0.8181220351942429,0.2837354031505485,0.28525339765047397,0.28710229555175854,0.3017313586161381,0.2823696178981772
9,61552.088563606936,0.9076955623617526,0.9109555960098985,0.9089694059409247,0.9089338939982167,0.9111199118264128,1.0261926881913515,1.0269758874243162,1.0267435197543981,1.0274311040871602,1.0269681493042724,0.8231479299472229,0.8278023580953923,0.8221149806365795,0.8450904634745223,0.8625777517198648,0.3527949334099655,0.35314602461164407,0.35767520168398825,0.3683566718422307,0.3533761918324709
10,65258.75237209185,0.9392929556233252,0.9420849362372373,0.9409044828809123,0.9401369718331978,0.9425805805117661,1.0502227588477961,1.0500009569382223,1.0498596808656033,1.0500926888913722,1.0501562072076525,0.8594675329976478,0.864717431989797,0.8584011986681492,0.875231665512626,0.8975993753196397,0.4033957121127396,0.4019625027126355,0.40914612680942913,0.4132619496919515,0.40414836621709344
