horizon,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19
1,0.4025681560256972,0.29114659039097784,0.35870530504863135,0.4694063737136379,0.6296797122515227,0.8580963032530178,1.2139334761337544,1.6709398545236946,2.2818390165562756,2.6717006196533735,2.443289224543487,1.8081313105727301,1.2797429072832112,0.8943159976739725,0.6501749067012713,0.4986878208733687,0.39706137690261645,0.331855535161681,0.29520631370108985,0.5535191990359889
2,0.45421897462891714,0.3264810502185387,0.39942006866520263,0.5117150699173736,0.6729425012770007,0.8969695501310003,1.24661364896268,1.7326056563569692,2.3179518570411273,2.648092105986892,2.367539878741387,1.678680575600511,1.1527687410009253,0.8102800324749433,0.6070742519385937,0.48267129345682624,0.40308283039021553,0.3488281723384618,0.31988415981594975,0.622179581056485
3,0.49344415109082657,0.35559106661857304,0.43130104031983196,0.5463312070740736,0.7045416144332605,0.9260290625313647,1.2814008402139923,1.7847851526021397,2.329487623904106,2.5857164371020764,2.27797159233662,1.5721704722199807,1.0729779521843288,0.7721154063316213,0.5974067865052588,0.4865159327000381,0.4133643299181424,0.36147438260090364,0.3375287805014276,0.6698461688114343
4,0.5136990292617141,0.37480877482605984,0.455574537854611,0.5763222312223079,0.740655619438631,0.9725492806643359,1.3431001074846505,1.8388349893592064,2.328388700486067,2.524064384509491,2.206135042178289,1.4930309074364407,1.0113868694916874,0.7442181377745933,0.5875651707526837,0.48362001742027344,0.41249338922157874,0.3621423627026392,0.34328326927147124,0.6881271786432686
5,0.5377804152642917,0.40972969067690795,0.49753043004568887,0.6232100513298268,0.7869985718155765,1.0208440752841512,1.3918568915534866,1.8399852829468477,2.278641420631345,2.4480942434526263,2.1212234670120504,1.4006583459517743,0.9517750520110123,0.7194596194774382,0.585341302334569,0.49320975291532976,0.42755349713164903,0.3846284210068201,0.36656345105371474,0.7149160181048937
6,0.5516997419806299,0.43032506852107355,0.52478682158817,0.6568092014877371,0.8237894818978558,1.0641468242253211,1.4488527244963594,1.8634915422347895,2.2770694490836836,2.3942161266383355,2.06288437156208,1.3291450476950903,0.9089033269205773,0.700275252652225,0.5781713985517785,0.4880294409552496,0.42516029977565434,0.3868955285474743,0.37123744354065913,0.7141109076452556
7,0.571229473336037,0.4511309282404914,0.5494895847476197,0.6791612261196267,0.8475003240749169,1.0876645132592153,1.4829865603774053,1.8621509230596796,2.274379700868433,2.352046914203606,2.0078179372340914,1.2779332289420944,0.8800262593902215,0.6901008108782135,0.5722318573429893,0.48852182576021613,0.42920240721312897,0.39175448128163026,0.3781422380712465,0.7265288055991371
8,0.5789825302369935,0.462063024637996,0.5612185759918016,0.6978704344891339,0.8719747329600087,1.1239342597592221,1.533763857737418,1.8724262836110397,2.266645917870197,2.298959150160191,1.9667856910465586,1.2410843492004449,0.8653429166977626,0.6842198710293955,0.567995491354765,0.48479409228449033,0.4281435790470375,0.3901894786167512,0.37891224153308783,0.7246935217357047
9,0.579277063213319,0.47241387911303473,0.5761235831610103,0.7134466527383015,0.8866231870459078,1.1499025449949936,1.5590175870354557,1.8455578690314005,2.2313300321761864,2.2394554397233963,1.9437065208741375,1.211496958762458,0.8616328969138655,0.6903341976204589,0.5767994137258932,0.498705944814693,0.44062133652917657,0.4017022853525306,0.39110279157219097,0.7307498156015901
10,0.5774004366935223,0.47745199249073283,0.5828964561206283,0.722015060170881,0.9003209685142256,1.1721314587106642,1.5831340291529052,1.8422466081551228,2.212149044013466,2.1935669141589855,1.928632571262725,1.193686925278383,0.8610859046940268,0.6936997836126041,0.5814183599868232,0.5030645696560456,0.44531227995410183,0.40656215902453,0.39465779074224433,0.7285666876073824
