account_name,account_id
acomincq,0
acoq,1
actq,2
ancq,3
aoq,4
aoq_ex_intanq,5
apq,6
aqcq,7
atq,8
capsq,9
capxq,10
ceqq,11
cheq,12
cogsq,13
cstkq,14
dlcchq,15
dlcq,16
dltisq,17
dltrq,18
dlttq,19
dpactq,20
dpq,21
drcq,22
drltq,23
dvq,24
exreq,25
fcfq,26
fiaoq,27
fincfq,28
fopoq,29
gdwlq,30
gpq,31
ibq,32
intanoq,33
intanq,34
invtq,35
ivacoq,36
ivchq,37
ivncfq,38
ivstchq,39
lcoq,40
lctq,41
loq,42
loq_ex_dr,43
ltq,44
mibtq,45
miiq,46
niq,47
nopiq,48
oancfq,49
oiadpq,50
oibdpq,51
piq,52
ppegtq,53
ppentq,54
prstkcq,55
pstkq,56
rectq,57
req,58
revtq,59
scale,60
seqq,61
sivq,62
spiq,63
sppeq,64
sstkq,65
stkcoq,66
tstkq,67
txbcofq,68
txditcq,69
txpq,70
txtq,71
wcapq,72
xidoq,73
xintq,74
xoprq,75
xrdq,76
xsgaq,77
xsgaq_ex_rd,78
dvcq,79
dvpq,80
neiq,81
